#EXPORTTYPE:DATA ALL
#FILE:20250310PQM.ngb-ss5
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:20250310PQM
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DTA
#INSTRUMENT:NETZSCH STA 449F5
#PROJECT:
#DATE/TIME:10.03.2025 16:49
#CORR. FILE:
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:
#OPERATOR:
#REMARK:DSC Al2O3
#SAMPLE:20250310PQM
#SAMPLE MASS /mg:16.83
#MATERIAL:
#REFERENCE:al2o3
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Al2O3 3.4 ml, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:197.80
#PURGE 1 MFC:AIR(80/20),250.3 ml/min
#PURGE 2 MFC:NITROGEN,250.0 ml/min
#PROTECTIVE MFC:NITROGEN,250.0 ml/min
#DTA RANGE /¶ÃV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:20°„C/10.0(K/min)/800°„C
#SEGMENT:S1/1
#SEG. 1:20°„C/10.0(K/min)/800°„C

##Temp./°„C;Time/min;DTA/(uV/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 18.15400; 0.00000; 5.480654e-02; 99.92343;80.00000;20.00000;1.00000
 18.17400; 0.05594; 5.455913e-02; 99.90433;80.00000;20.00000;1.00000
 18.19400; 0.12896; 5.410828e-02; 99.87722;80.00000;20.00000;1.00000
 18.21400; 0.19842; 5.404401e-02; 99.87634;80.00000;20.00000;1.00000
 18.23400; 0.27126; 5.339354e-02; 99.85899;80.00000;20.00000;1.00000
 18.25400; 0.33116; 5.358101e-02; 99.84578;80.00000;20.00000;1.00000
 18.27400; 0.38694; 5.353815e-02; 99.83542;80.00000;20.00000;1.00000
 18.29400; 0.43793; 5.264774e-02; 99.83903;80.00000;20.00000;1.00000
 18.31400; 0.49460; 5.214730e-02; 99.83064;80.00000;20.00000;1.00000
 18.33400; 0.54672; 5.291039e-02; 99.83362;80.00000;20.00000;1.00000
 18.35400; 0.59224; 5.176922e-02; 99.83259;80.00000;20.00000;1.00000
 18.37400; 0.63794; 5.233200e-02; 99.82704;80.00000;20.00000;1.00000
 18.39400; 0.67928; 5.176640e-02; 99.81718;80.00000;20.00000;1.00000
 18.41400; 0.71942; 5.194404e-02; 99.82027;80.00000;20.00000;1.00000
 18.43400; 0.75547; 5.127491e-02; 99.82570;80.00000;20.00000;1.00000
 18.45400; 0.78961; 5.109452e-02; 99.82365;80.00000;20.00000;1.00000
 18.47400; 0.82362; 5.072694e-02; 99.81164;80.00000;20.00000;1.00000
 18.49400; 0.85779; 5.053147e-02; 99.80036;80.00000;20.00000;1.00000
 18.51400; 0.89159; 4.972014e-02; 99.79071;80.00000;20.00000;1.00000
 18.53400; 0.92495; 4.986982e-02; 99.79916;80.00000;20.00000;1.00000
 18.55400; 0.96024; 4.926959e-02; 99.80856;80.00000;20.00000;1.00000
 18.57400; 0.99198; 4.849802e-02; 99.81832;80.00000;20.00000;1.00000
 18.59400; 1.02101; 4.797482e-02; 99.82762;80.00000;20.00000;1.00000
 18.61400; 1.04831; 4.826687e-02; 99.82899;80.00000;20.00000;1.00000
 18.63400; 1.07459; 4.821305e-02; 99.82873;80.00000;20.00000;1.00000
 18.65400; 1.10012; 4.768550e-02; 99.83853;80.00000;20.00000;1.00000
 18.67400; 1.12406; 4.732092e-02; 99.83898;80.00000;20.00000;1.00000
 18.69400; 1.14804; 4.689761e-02; 99.84347;80.00000;20.00000;1.00000
 18.71400; 1.16970; 4.736683e-02; 99.84739;80.00000;20.00000;1.00000
 18.73400; 1.19338; 4.715170e-02; 99.84447;80.00000;20.00000;1.00000
 18.75400; 1.21571; 4.682284e-02; 99.84103;80.00000;20.00000;1.00000
 18.77400; 1.23907; 4.631162e-02; 99.83863;80.00000;20.00000;1.00000
 18.79400; 1.26208; 4.556556e-02; 99.83625;80.00000;20.00000;1.00000
 18.81400; 1.28352; 4.493418e-02; 99.83847;80.00000;20.00000;1.00000
 18.83400; 1.30386; 4.442173e-02; 99.83776;80.00000;20.00000;1.00000
 18.85400; 1.32420; 4.405464e-02; 99.83563;80.00000;20.00000;1.00000
 18.87400; 1.34338; 4.394686e-02; 99.83770;80.00000;20.00000;1.00000
 18.89400; 1.36278; 4.355396e-02; 99.84559;80.00000;20.00000;1.00000
 18.91400; 1.38208; 4.366437e-02; 99.84809;80.00000;20.00000;1.00000
 18.93400; 1.40057; 4.342171e-02; 99.85667;80.00000;20.00000;1.00000
 18.95400; 1.42009; 4.338376e-02; 99.86624;80.00000;20.00000;1.00000
 18.97400; 1.43838; 4.303736e-02; 99.86983;80.00000;20.00000;1.00000
 18.99400; 1.45587; 4.239230e-02; 99.87856;80.00000;20.00000;1.00000
 19.01400; 1.47246; 4.220381e-02; 99.88983;80.00000;20.00000;1.00000
 19.03400; 1.48963; 4.148235e-02; 99.89665;80.00000;20.00000;1.00000
 19.05400; 1.50690; 4.150269e-02; 99.90279;80.00000;20.00000;1.00000
 19.07400; 1.52387; 4.102735e-02; 99.91027;80.00000;20.00000;1.00000
 19.09400; 1.54020; 4.079159e-02; 99.92222;80.00000;20.00000;1.00000
 19.11400; 1.55636; 4.054454e-02; 99.92696;80.00000;20.00000;1.00000
 19.13400; 1.57194; 4.059346e-02; 99.93395;80.00000;20.00000;1.00000
 19.15400; 1.58707; 4.022444e-02; 99.94164;80.00000;20.00000;1.00000
 19.17400; 1.60243; 3.960542e-02; 99.94387;80.00000;20.00000;1.00000
 19.19400; 1.61700; 3.911696e-02; 99.95193;80.00000;20.00000;1.00000
 19.21400; 1.63103; 3.901340e-02; 99.95605;80.00000;20.00000;1.00000
 19.23400; 1.64553; 3.889899e-02; 99.96407;80.00000;20.00000;1.00000
 19.25400; 1.66000; 3.875898e-02; 99.97202;80.00000;20.00000;1.00000
 19.27400; 1.67423; 3.850437e-02; 99.97686;80.00000;20.00000;1.00000
 19.29400; 1.68816; 3.688136e-02; 99.98509;80.00000;20.00000;1.00000
 19.31400; 1.70172; 3.729186e-02; 99.99190;80.00000;20.00000;1.00000
 19.33400; 1.71539; 3.660521e-02; 99.99954;80.00000;20.00000;1.00000
 19.35400; 1.72883; 3.713793e-02;100.00784;80.00000;20.00000;1.00000
 19.37400; 1.74178; 3.692117e-02;100.01398;80.00000;20.00000;1.00000
 19.39400; 1.75467; 3.626805e-02;100.02011;80.00000;20.00000;1.00000
 19.41400; 1.76733; 3.566586e-02;100.02717;80.00000;20.00000;1.00000
 19.43400; 1.78027; 3.567694e-02;100.03019;80.00000;20.00000;1.00000
 19.45400; 1.79291; 3.562613e-02;100.03953;80.00000;20.00000;1.00000
 19.47400; 1.80499; 3.507830e-02;100.03854;80.00000;20.00000;1.00000
 19.49400; 1.81687; 3.484758e-02;100.04376;80.00000;20.00000;1.00000
 19.51400; 1.82904; 3.500788e-02;100.04167;80.00000;20.00000;1.00000
 19.53400; 1.84119; 3.471469e-02;100.04736;80.00000;20.00000;1.00000
 19.55400; 1.85279; 3.463683e-02;100.04606;80.00000;20.00000;1.00000
 19.57400; 1.86460; 3.409512e-02;100.04869;80.00000;20.00000;1.00000
 19.59400; 1.87650; 3.361132e-02;100.05144;80.00000;20.00000;1.00000
 19.61400; 1.88770; 3.318846e-02;100.04909;80.00000;20.00000;1.00000
 19.63400; 1.89932; 3.261889e-02;100.05244;80.00000;20.00000;1.00000
 19.65400; 1.91104; 3.233038e-02;100.05456;80.00000;20.00000;1.00000
 19.67400; 1.92186; 3.200700e-02;100.06119;80.00000;20.00000;1.00000
 19.69400; 1.93260; 3.201227e-02;100.06578;80.00000;20.00000;1.00000
 19.71400; 1.94342; 3.157614e-02;100.07281;80.00000;20.00000;1.00000
 19.73400; 1.95445; 3.132601e-02;100.07836;80.00000;20.00000;1.00000
 19.75400; 1.96500; 3.078120e-02;100.08403;80.00000;20.00000;1.00000
 19.77400; 1.97552; 3.059421e-02;100.08887;80.00000;20.00000;1.00000
 19.79400; 1.98570; 3.041924e-02;100.09286;80.00000;20.00000;1.00000
 19.81400; 1.99625; 3.025041e-02;100.09601;80.00000;20.00000;1.00000
 19.83400; 2.00679; 2.952714e-02;100.09557;80.00000;20.00000;1.00000
 19.85400; 2.01737; 2.941739e-02;100.09603;80.00000;20.00000;1.00000
 19.87400; 2.02795; 2.958959e-02;100.09308;80.00000;20.00000;1.00000
 19.89400; 2.03813; 2.929448e-02;100.09242;80.00000;20.00000;1.00000
 19.91400; 2.04804; 2.907704e-02;100.09054;80.00000;20.00000;1.00000
 19.93400; 2.05815; 2.856834e-02;100.08984;80.00000;20.00000;1.00000
 19.95400; 2.06780; 2.815714e-02;100.09252;80.00000;20.00000;1.00000
 19.97400; 2.07715; 2.768721e-02;100.09094;80.00000;20.00000;1.00000
 19.99400; 2.08677; 2.767142e-02;100.09610;80.00000;20.00000;1.00000
 20.01400; 2.09623; 2.751287e-02;100.10084;80.00000;20.00000;1.00000
 20.03400; 2.10531; 2.694719e-02;100.10579;80.00000;20.00000;1.00000
 20.05400; 2.11433; 2.670453e-02;100.10948;80.00000;20.00000;1.00000
 20.07400; 2.12349; 2.628358e-02;100.11147;80.00000;20.00000;1.00000
 20.09400; 2.13267; 2.569485e-02;100.11401;80.00000;20.00000;1.00000
 20.11400; 2.14180; 2.569860e-02;100.11198;80.00000;20.00000;1.00000
 20.13400; 2.15098; 2.520992e-02;100.11213;80.00000;20.00000;1.00000
 20.15400; 2.15987; 2.502654e-02;100.10812;80.00000;20.00000;1.00000
 20.17400; 2.16908; 2.465841e-02;100.10823;80.00000;20.00000;1.00000
 20.19400; 2.17804; 2.427445e-02;100.10530;80.00000;20.00000;1.00000
 20.21400; 2.18691; 2.400250e-02;100.10828;80.00000;20.00000;1.00000
 20.23400; 2.19580; 2.360419e-02;100.11000;80.00000;20.00000;1.00000
 20.25400; 2.20449; 2.321606e-02;100.11244;80.00000;20.00000;1.00000
 20.27400; 2.21303; 2.302194e-02;100.11573;80.00000;20.00000;1.00000
 20.29400; 2.22162; 2.299350e-02;100.11689;80.00000;20.00000;1.00000
 20.31400; 2.23012; 2.302740e-02;100.12186;80.00000;20.00000;1.00000
 20.33400; 2.23836; 2.280528e-02;100.12225;80.00000;20.00000;1.00000
 20.35400; 2.24663; 2.262676e-02;100.12587;80.00000;20.00000;1.00000
 20.37400; 2.25512; 2.247823e-02;100.12747;80.00000;20.00000;1.00000
 20.39400; 2.26344; 2.222760e-02;100.12853;80.00000;20.00000;1.00000
 20.41400; 2.27164; 2.186199e-02;100.13096;80.00000;20.00000;1.00000
 20.43400; 2.28018; 2.138492e-02;100.13010;80.00000;20.00000;1.00000
 20.45400; 2.28841; 2.078511e-02;100.13287;80.00000;20.00000;1.00000
 20.47400; 2.29675; 2.029337e-02;100.13315;80.00000;20.00000;1.00000
 20.49400; 2.30498; 2.027141e-02;100.13216;80.00000;20.00000;1.00000
 20.51400; 2.31325; 2.032817e-02;100.13365;80.00000;20.00000;1.00000
 20.53400; 2.32163; 2.006873e-02;100.13594;80.00000;20.00000;1.00000
 20.55400; 2.32968; 1.977646e-02;100.13658;80.00000;20.00000;1.00000
 20.57400; 2.33774; 1.950792e-02;100.13920;80.00000;20.00000;1.00000
 20.59400; 2.34587; 1.932159e-02;100.13875;80.00000;20.00000;1.00000
 20.61400; 2.35388; 1.908951e-02;100.14219;80.00000;20.00000;1.00000
 20.63400; 2.36168; 1.880247e-02;100.14721;80.00000;20.00000;1.00000
 20.65400; 2.36941; 1.859946e-02;100.14604;80.00000;20.00000;1.00000
 20.67400; 2.37715; 1.837807e-02;100.15212;80.00000;20.00000;1.00000
 20.69400; 2.38488; 1.783426e-02;100.15336;80.00000;20.00000;1.00000
 20.71400; 2.39270; 1.734011e-02;100.15476;80.00000;20.00000;1.00000
 20.73400; 2.40051; 1.721957e-02;100.16150;80.00000;20.00000;1.00000
 20.75400; 2.40800; 1.701178e-02;100.16013;80.00000;20.00000;1.00000
 20.77400; 2.41557; 1.655150e-02;100.16435;80.00000;20.00000;1.00000
 20.79400; 2.42317; 1.636239e-02;100.16674;80.00000;20.00000;1.00000
 20.81400; 2.43068; 1.622418e-02;100.16386;80.00000;20.00000;1.00000
 20.83400; 2.43822; 1.529927e-02;100.16675;80.00000;20.00000;1.00000
 20.85400; 2.44578; 1.476283e-02;100.16288;80.00000;20.00000;1.00000
 20.87400; 2.45326; 1.488632e-02;100.15962;80.00000;20.00000;1.00000
 20.89400; 2.46061; 1.504252e-02;100.16116;80.00000;20.00000;1.00000
 20.91400; 2.46787; 1.468189e-02;100.15889;80.00000;20.00000;1.00000
 20.93400; 2.47510; 1.430911e-02;100.15988;80.00000;20.00000;1.00000
 20.95400; 2.48239; 1.388022e-02;100.16136;80.00000;20.00000;1.00000
 20.97400; 2.48969; 1.334365e-02;100.16063;80.00000;20.00000;1.00000
 20.99400; 2.49677; 1.314083e-02;100.16417;80.00000;20.00000;1.00000
 21.01400; 2.50378; 1.286930e-02;100.16549;80.00000;20.00000;1.00000
 21.03400; 2.51082; 1.247509e-02;100.16541;80.00000;20.00000;1.00000
 21.05400; 2.51788; 1.228043e-02;100.16983;80.00000;20.00000;1.00000
 21.07400; 2.52492; 1.212789e-02;100.17132;80.00000;20.00000;1.00000
 21.09400; 2.53179; 1.189694e-02;100.17174;80.00000;20.00000;1.00000
 21.11400; 2.53849; 1.164163e-02;100.17453;80.00000;20.00000;1.00000
 21.13400; 2.54529; 1.156227e-02;100.17430;80.00000;20.00000;1.00000
 21.15400; 2.55206; 1.154553e-02;100.17461;80.00000;20.00000;1.00000
 21.17400; 2.55869; 1.141787e-02;100.17771;80.00000;20.00000;1.00000
 21.19400; 2.56540; 1.117613e-02;100.17710;80.00000;20.00000;1.00000
 21.21400; 2.57224; 1.086443e-02;100.17635;80.00000;20.00000;1.00000
 21.23400; 2.57908; 1.052052e-02;100.17784;80.00000;20.00000;1.00000
 21.25400; 2.58576; 1.017231e-02;100.17593;80.00000;20.00000;1.00000
 21.27400; 2.59243; 9.974825e-03;100.17472;80.00000;20.00000;1.00000
 21.29400; 2.59910; 9.868573e-03;100.17598;80.00000;20.00000;1.00000
 21.31400; 2.60550; 9.524063e-03;100.17416;80.00000;20.00000;1.00000
 21.33400; 2.61190; 9.250164e-03;100.17336;80.00000;20.00000;1.00000
 21.35400; 2.61854; 9.137966e-03;100.17576;80.00000;20.00000;1.00000
 21.37400; 2.62519; 8.609837e-03;100.17486;80.00000;20.00000;1.00000
 21.39400; 2.63171; 8.140566e-03;100.17382;80.00000;20.00000;1.00000
 21.41400; 2.63811; 8.179349e-03;100.17579;80.00000;20.00000;1.00000
 21.43400; 2.64460; 8.181154e-03;100.17542;80.00000;20.00000;1.00000
 21.45400; 2.65106; 8.046512e-03;100.17530;80.00000;20.00000;1.00000
 21.47400; 2.65736; 7.931095e-03;100.17908;80.00000;20.00000;1.00000
 21.49400; 2.66380; 7.817261e-03;100.18069;80.00000;20.00000;1.00000
 21.51400; 2.67022; 7.555993e-03;100.18073;80.00000;20.00000;1.00000
 21.53400; 2.67633; 7.042474e-03;100.18377;80.00000;20.00000;1.00000
 21.55400; 2.68251; 6.623062e-03;100.18542;80.00000;20.00000;1.00000
 21.57400; 2.68887; 6.394662e-03;100.18463;80.00000;20.00000;1.00000
 21.59400; 2.69501; 6.056682e-03;100.18629;80.00000;20.00000;1.00000
 21.61400; 2.70110; 5.705697e-03;100.18829;80.00000;20.00000;1.00000
 21.63400; 2.70736; 5.522358e-03;100.18812;80.00000;20.00000;1.00000
 21.65400; 2.71365; 5.446267e-03;100.18950;80.00000;20.00000;1.00000
 21.67400; 2.71984; 5.224425e-03;100.19182;80.00000;20.00000;1.00000
 21.69400; 2.72589; 4.637807e-03;100.19179;80.00000;20.00000;1.00000
 21.71400; 2.73186; 4.161566e-03;100.19260;80.00000;20.00000;1.00000
 21.73400; 2.73786; 4.034134e-03;100.19534;80.00000;20.00000;1.00000
 21.75400; 2.74396; 3.830579e-03;100.19516;80.00000;20.00000;1.00000
 21.77400; 2.75009; 3.532379e-03;100.19348;80.00000;20.00000;1.00000
 21.79400; 2.75610; 3.356326e-03;100.19437;80.00000;20.00000;1.00000
 21.81400; 2.76211; 3.202431e-03;100.19433;80.00000;20.00000;1.00000
 21.83400; 2.76813; 3.003347e-03;100.19213;80.00000;20.00000;1.00000
 21.85400; 2.77407; 2.842597e-03;100.19215;80.00000;20.00000;1.00000
 21.87400; 2.77992; 2.677608e-03;100.19324;80.00000;20.00000;1.00000
 21.89400; 2.78573; 2.404386e-03;100.19211;80.00000;20.00000;1.00000
 21.91400; 2.79158; 2.016920e-03;100.19157;80.00000;20.00000;1.00000
 21.93400; 2.79745; 1.651360e-03;100.19306;80.00000;20.00000;1.00000
 21.95400; 2.80324; 1.625829e-03;100.19271;80.00000;20.00000;1.00000
 21.97400; 2.80900; 1.705380e-03;100.19111;80.00000;20.00000;1.00000
 21.99400; 2.81491; 1.292933e-03;100.19213;80.00000;20.00000;1.00000
 22.01400; 2.82084; 6.401786e-04;100.19290;80.00000;20.00000;1.00000
 22.03400; 2.82659; 1.832413e-04;100.19067;80.00000;20.00000;1.00000
 22.05400; 2.83224;-9.466467e-05;100.19037;80.00000;20.00000;1.00000
 22.07400; 2.83785;-2.677798e-04;100.19325;80.00000;20.00000;1.00000
 22.09400; 2.84352;-3.858187e-04;100.19447;80.00000;20.00000;1.00000
 22.11400; 2.84923;-4.504339e-04;100.19442;80.00000;20.00000;1.00000
 22.13400; 2.85492;-4.569861e-04;100.19662;80.00000;20.00000;1.00000
 22.15400; 2.86063;-5.680806e-04;100.19884;80.00000;20.00000;1.00000
 22.17400; 2.86638;-8.984516e-04;100.19848;80.00000;20.00000;1.00000
 22.19400; 2.87202;-1.246008e-03;100.19814;80.00000;20.00000;1.00000
 22.21400; 2.87758;-1.492215e-03;100.19961;80.00000;20.00000;1.00000
 22.23400; 2.88329;-1.715809e-03;100.20203;80.00000;20.00000;1.00000
 22.25400; 2.88908;-1.922376e-03;100.20413;80.00000;20.00000;1.00000
 22.27400; 2.89474;-2.069540e-03;100.20492;80.00000;20.00000;1.00000
 22.29400; 2.90025;-2.280155e-03;100.20653;80.00000;20.00000;1.00000
